Lat	Lon	Time	Date	Speed
55.5874550000	37.1004550000	15:52:34.800	29/07/16	0.04
55.5874550000	37.1004550000	15:52:35.000	29/07/16	0.13
55.5874550000	37.1004550000	15:52:35.200	29/07/16	0.20
55.5874550000	37.1004550000	15:52:35.400	29/07/16	0.54
55.5874550000	37.1004550000	15:52:35.600	29/07/16	1.02
55.5874550000	37.1004566667	15:52:35.800	29/07/16	1.30
55.5874550000	37.1004583333	15:52:36.000	29/07/16	1.57
55.5874550000	37.1004600000	15:52:36.200	29/07/16	2.06
55.5874550000	37.1004616667	15:52:36.400	29/07/16	1.33
55.5874566667	37.1004616667	15:52:36.600	29/07/16	1.30
55.5874566667	37.1004616667	15:52:36.800	29/07/16	1.78
55.5874566667	37.1004600000	15:52:37.000	29/07/16	1.91
55.5874583333	37.1004600000	15:52:37.200	29/07/16	1.48
55.5874583333	37.1004600000	15:52:37.400	29/07/16	1.06
55.5874583333	37.1004600000	15:52:37.600	29/07/16	1.80
55.5874600000	37.1004600000	15:52:37.800	29/07/16	2.54
55.5874600000	37.1004583333	15:52:38.000	29/07/16	2.43
55.5874616667	37.1004583333	15:52:38.200	29/07/16	1.91
55.5874616667	37.1004566667	15:52:38.400	29/07/16	2.37
55.5874633333	37.1004550000	15:52:38.600	29/07/16	3.28
55.5874633333	37.1004533333	15:52:38.800	29/07/16	2.76
55.5874633333	37.1004516667	15:52:39.000	29/07/16	2.89
55.5874650000	37.1004500000	15:52:39.200	29/07/16	3.20
55.5874650000	37.1004466667	15:52:39.400	29/07/16	3.30
55.5874666667	37.1004450000	15:52:39.600	29/07/16	2.96
55.5874666667	37.1004433333	15:52:39.800	29/07/16	3.26
55.5874666667	37.1004400000	15:52:40.000	29/07/16	3.13
55.5874683333	37.1004383333	15:52:40.200	29/07/16	3.11
55.5874683333	37.1004366667	15:52:40.400	29/07/16	3.20
55.5874683333	37.1004350000	15:52:40.600	29/07/16	3.30
55.5874700000	37.1004316667	15:52:40.800	29/07/16	3.19
55.5874700000	37.1004300000	15:52:41.000	29/07/16	3.32
55.5874716667	37.1004266667	15:52:41.200	29/07/16	3.20
55.5874716667	37.1004250000	15:52:41.400	29/07/16	3.02
55.5874733333	37.1004233333	15:52:41.600	29/07/16	3.44
55.5874733333	37.1004216667	15:52:41.800	29/07/16	3.48
55.5874750000	37.1004183333	15:52:42.000	29/07/16	3.28
55.5874750000	37.1004166667	15:52:42.200	29/07/16	3.41
55.5874766667	37.1004133333	15:52:42.400	29/07/16	3.33
55.5874766667	37.1004116667	15:52:42.600	29/07/16	3.17
55.5874783333	37.1004100000	15:52:42.800	29/07/16	3.69
55.5874783333	37.1004083333	15:52:43.000	29/07/16	3.39
55.5874800000	37.1004050000	15:52:43.200	29/07/16	2.83
55.5874800000	37.1004033333	15:52:43.400	29/07/16	3.52
55.5874800000	37.1004000000	15:52:43.600	29/07/16	3.50
55.5874800000	37.1003983333	15:52:43.800	29/07/16	2.94
55.5874816667	37.1003950000	15:52:44.000	29/07/16	2.96
55.5874816667	37.1003933333	15:52:44.200	29/07/16	3.48
55.5874816667	37.1003900000	15:52:44.400	29/07/16	3.20
55.5874833333	37.1003883333	15:52:44.600	29/07/16	3.83
